CurrencyKey,DateKey,AverageRate,EndOfDayRate,Date
3,20101229,1,0.9998,Dec 29 2010 12:00AM
3,20101230,1,1.0009,Dec 30 2010 12:00AM
3,20101231,1,0.9996,Dec 31 2010 12:00AM
3,20110101,1,1,Jan  1 2011 12:00AM
3,20110102,1,0.9996,Jan  2 2011 12:00AM
3,20110103,1,1.0005,Jan  3 2011 12:00AM
3,20110104,1,0.9995,Jan  4 2011 12:00AM
3,20110105,1,1.0002,Jan  5 2011 12:00AM
3,20110106,1,0.999201,Jan  6 2011 12:00AM
3,20110107,1,1.0002,Jan  7 2011 12:00AM
3,20110108,1,0.9996,Jan  8 2011 12:00AM
3,20110109,1,1.0009,Jan  9 2011 12:00AM
3,20110110,1,0.9996,Jan 10 2011 12:00AM
3,20110111,1,1.0008,Jan 11 2011 12:00AM
3,20110112,1,0.9993,Jan 12 2011 12:00AM
3,20110113,1,1.001,Jan 13 2011 12:00AM
3,20110114,1,0.9993,Jan 14 2011 12:00AM
3,20110115,1,1.0009,Jan 15 2011 12:00AM
3,20110116,1,0.9999,Jan 16 2011 12:00AM
3,20110117,1,1.0007,Jan 17 2011 12:00AM
3,20110118,1,0.9996,Jan 18 2011 12:00AM
3,20110119,1,1.0005,Jan 19 2011 12:00AM
3,20110120,1,0.9996,Jan 20 2011 12:00AM
3,20110121,1,1.001,Jan 21 2011 12:00AM
3,20110122,1,1,Jan 22 2011 12:00AM
3,20110123,1.0004,1.0011,Jan 23 2011 12:00AM
3,20110124,1.0004,1.0003,Jan 24 2011 12:00AM
3,20110125,1.0004,1.0007,Jan 25 2011 12:00AM
3,20110126,1.0004,0.9998,Jan 26 2011 12:00AM
3,20110127,1.0004,1.001,Jan 27 2011 12:00AM
3,20110128,1.0004,0.9999,Jan 28 2011 12:00AM
3,20110129,1.0004,1.0011,Jan 29 2011 12:00AM
3,20110130,1.0004,0.9996,Jan 30 2011 12:00AM
3,20110131,1.0004,1.001,Jan 31 2011 12:00AM
3,20110201,1.0004,1.0003,Feb  1 2011 12:00AM
3,20110202,1.0004,1.0009,Feb  2 2011 12:00AM
3,20110203,1.0004,0.9996,Feb  3 2011 12:00AM
3,20110204,1.0004,1.0009,Feb  4 2011 12:00AM
3,20110205,1.0004,1,Feb  5 2011 12:00AM
3,20110206,1.0004,1.0007,Feb  6 2011 12:00AM
3,20110207,1.0004,0.9996,Feb  7 2011 12:00AM
3,20110208,1.0004,1.0009,Feb  8 2011 12:00AM
3,20110209,1.0004,0.9997,Feb  9 2011 12:00AM
3,20110210,1.0004,1.0005,Feb 10 2011 12:00AM
3,20110211,1.0001,1.0001,Feb 11 2011 12:00AM
3,20110212,1.0002,1.001,Feb 12 2011 12:00AM
3,20110213,1.0001,0.9997,Feb 13 2011 12:00AM
3,20110214,1.0001,1.0002,Feb 14 2011 12:00AM
3,20110215,1.0001,0.9995,Feb 15 2011 12:00AM
3,20110216,1.0001,1.001,Feb 16 2011 12:00AM
3,20110217,1.0001,0.9999,Feb 17 2011 12:00AM
3,20110218,1.0001,1.0007,Feb 18 2011 12:00AM
3,20110219,1.0001,1,Feb 19 2011 12:00AM
3,20110220,1.0001,1.0001,Feb 20 2011 12:00AM
3,20110221,1.0004,1.0001,Feb 21 2011 12:00AM
