FinanceKey,DateKey,OrganizationKey,DepartmentGroupKey,ScenarioKey,AccountKey,Amount,Date
1,20101229,3,1,1,60,22080,Dec 29 2010 12:00AM
2,20101229,3,1,2,60,20200,Dec 29 2010 12:00AM
3,20101229,3,1,2,61,2000,Dec 29 2010 12:00AM
4,20101229,3,1,1,61,2208,Dec 29 2010 12:00AM
5,20101229,3,1,1,62,1546,Dec 29 2010 12:00AM
6,20101229,3,1,2,62,1800,Dec 29 2010 12:00AM
7,20101229,3,1,2,65,380,Dec 29 2010 12:00AM
8,20101229,3,1,1,65,378,Dec 29 2010 12:00AM
9,20101229,3,1,1,66,344,Dec 29 2010 12:00AM
10,20101229,3,1,2,66,380,Dec 29 2010 12:00AM
11,20101229,3,1,2,67,200,Dec 29 2010 12:00AM
12,20101229,3,1,1,67,174,Dec 29 2010 12:00AM
13,20101229,3,1,1,68,132,Dec 29 2010 12:00AM
14,20101229,3,1,2,68,100,Dec 29 2010 12:00AM
15,20101229,3,1,1,69,38,Dec 29 2010 12:00AM
16,20101229,3,1,1,71,54,Dec 29 2010 12:00AM
17,20101229,3,1,2,71,70,Dec 29 2010 12:00AM
18,20101229,3,1,2,73,300,Dec 29 2010 12:00AM
19,20101229,3,1,1,73,250,Dec 29 2010 12:00AM
20,20101229,3,1,1,74,114,Dec 29 2010 12:00AM
21,20101229,3,1,2,74,100,Dec 29 2010 12:00AM
22,20101229,3,1,2,76,280,Dec 29 2010 12:00AM
23,20101229,3,1,1,76,297,Dec 29 2010 12:00AM
24,20101229,3,1,1,77,535,Dec 29 2010 12:00AM
25,20101229,3,1,2,77,480,Dec 29 2010 12:00AM
26,20101229,3,1,2,78,200,Dec 29 2010 12:00AM
27,20101229,3,1,1,78,153,Dec 29 2010 12:00AM
28,20101229,3,1,1,80,586,Dec 29 2010 12:00AM
29,20101229,3,1,2,80,550,Dec 29 2010 12:00AM
30,20101229,3,1,2,81,380,Dec 29 2010 12:00AM
31,20101229,3,1,1,81,363,Dec 29 2010 12:00AM
32,20101229,3,1,1,82,35,Dec 29 2010 12:00AM
33,20101229,3,1,2,82,40,Dec 29 2010 12:00AM
34,20101229,3,1,2,83,100,Dec 29 2010 12:00AM
35,20101229,3,1,1,83,123,Dec 29 2010 12:00AM
36,20101229,3,1,1,84,103,Dec 29 2010 12:00AM
37,20101229,3,1,2,84,100,Dec 29 2010 12:00AM
38,20101229,3,1,2,85,100,Dec 29 2010 12:00AM
39,20101229,3,1,1,85,98,Dec 29 2010 12:00AM
40,20101229,3,1,1,87,540,Dec 29 2010 12:00AM
41,20101229,3,1,2,87,480,Dec 29 2010 12:00AM
42,20101229,3,1,1,89,201,Dec 29 2010 12:00AM
43,20101229,3,1,1,90,309,Dec 29 2010 12:00AM
44,20101229,3,1,1,91,-247,Dec 29 2010 12:00AM
45,20101229,3,1,1,92,412,Dec 29 2010 12:00AM
46,20101229,3,1,1,94,214,Dec 29 2010 12:00AM
47,20101229,3,1,1,96,12,Dec 29 2010 12:00AM
48,20101229,3,2,1,12,23197,Dec 29 2010 12:00AM
49,20101229,3,6,1,52,3059,Dec 29 2010 12:00AM
50,20101229,3,6,2,52,3200,Dec 29 2010 12:00AM
51,20101229,3,6,2,53,2600,Dec 29 2010 12:00AM
52,20101229,3,6,1,53,2294,Dec 29 2010 12:00AM
53,20101229,3,6,1,56,33968,Dec 29 2010 12:00AM
54,20101229,3,6,2,56,27200,Dec 29 2010 12:00AM
55,20101229,3,6,2,57,3800,Dec 29 2010 12:00AM
56,20101229,3,6,1,57,3186,Dec 29 2010 12:00AM
57,20101229,3,6,1,60,16320,Dec 29 2010 12:00AM
58,20101229,3,6,2,60,14300,Dec 29 2010 12:00AM
59,20101229,3,6,2,61,1600,Dec 29 2010 12:00AM
60,20101229,3,6,1,61,1632,Dec 29 2010 12:00AM
61,20101229,3,6,1,62,979,Dec 29 2010 12:00AM
62,20101229,3,6,2,62,1100,Dec 29 2010 12:00AM
63,20101229,3,6,2,63,2400,Dec 29 2010 12:00AM
64,20101229,3,6,1,63,1912,Dec 29 2010 12:00AM
65,20101229,3,6,1,65,220,Dec 29 2010 12:00AM
66,20101229,3,6,2,65,280,Dec 29 2010 12:00AM
67,20101229,3,6,2,66,200,Dec 29 2010 12:00AM
68,20101229,3,6,1,66,200,Dec 29 2010 12:00AM
69,20101229,3,6,1,67,104,Dec 29 2010 12:00AM
70,20101229,3,6,2,67,100,Dec 29 2010 12:00AM
71,20101229,3,6,2,68,100,Dec 29 2010 12:00AM
72,20101229,3,6,1,68,76,Dec 29 2010 12:00AM
73,20101229,3,6,1,69,22,Dec 29 2010 12:00AM
74,20101229,3,6,1,71,32,Dec 29 2010 12:00AM
75,20101229,3,6,2,71,50,Dec 29 2010 12:00AM
76,20101229,3,6,2,72,200,Dec 29 2010 12:00AM
77,20101229,3,6,1,72,153,Dec 29 2010 12:00AM
78,20101229,3,6,1,73,151,Dec 29 2010 12:00AM
79,20101229,3,6,2,73,220,Dec 29 2010 12:00AM
80,20101229,3,6,2,74,100,Dec 29 2010 12:00AM
81,20101229,3,6,1,74,96,Dec 29 2010 12:00AM
82,20101229,3,6,1,76,486,Dec 29 2010 12:00AM
83,20101229,3,6,2,76,750,Dec 29 2010 12:00AM
84,20101229,3,6,2,77,380,Dec 29 2010 12:00AM
85,20101229,3,6,1,77,346,Dec 29 2010 12:00AM
86,20101229,3,6,1,78,113,Dec 29 2010 12:00AM
87,20101229,3,6,2,78,100,Dec 29 2010 12:00AM
88,20101229,3,6,2,80,380,Dec 29 2010 12:00AM
89,20101229,3,6,1,80,449,Dec 29 2010 12:00AM
90,20101229,3,6,1,81,278,Dec 29 2010 12:00AM
91,20101229,3,6,2,81,280,Dec 29 2010 12:00AM
92,20101229,3,6,2,82,30,Dec 29 2010 12:00AM
93,20101229,3,6,1,82,29,Dec 29 2010 12:00AM
94,20101229,3,6,1,83,102,Dec 29 2010 12:00AM
95,20101229,3,6,2,83,90,Dec 29 2010 12:00AM
96,20101229,3,6,2,84,80,Dec 29 2010 12:00AM
97,20101229,3,6,1,84,92,Dec 29 2010 12:00AM
98,20101229,3,6,1,85,82,Dec 29 2010 12:00AM
99,20101229,3,6,2,85,80,Dec 29 2010 12:00AM
100,20101229,3,6,2,87,380,Dec 29 2010 12:00AM
101,20101229,3,6,1,87,360,Dec 29 2010 12:00AM
102,20101229,3,6,1,89,179,Dec 29 2010 12:00AM
103,20101229,3,6,1,90,276,Dec 29 2010 12:00AM
104,20101229,3,6,1,91,-221,Dec 29 2010 12:00AM
105,20101229,3,6,1,92,368,Dec 29 2010 12:00AM
106,20101229,3,6,1,94,3642,Dec 29 2010 12:00AM
107,20101229,3,6,1,96,8,Dec 29 2010 12:00AM
108,20101229,3,6,1,97,98,Dec 29 2010 12:00AM
109,20101229,3,6,1,99,45000,Dec 29 2010 12:00AM
110,20101229,3,6,1,101,76475,Dec 29 2010 12:00AM
111,20101229,3,6,2,101,91800,Dec 29 2010 12:00AM
112,20101229,3,7,1,4,76978,Dec 29 2010 12:00AM
113,20101229,3,7,1,6,124391,Dec 29 2010 12:00AM
114,20101229,3,7,1,7,3556,Dec 29 2010 12:00AM
115,20101229,3,7,1,8,2487,Dec 29 2010 12:00AM
116,20101229,3,7,1,13,19218,Dec 29 2010 12:00AM
117,20101229,3,7,1,14,12687,Dec 29 2010 12:00AM
118,20101229,3,7,1,15,23136,Dec 29 2010 12:00AM
119,20101229,3,7,1,18,13720,Dec 29 2010 12:00AM
120,20101229,3,7,1,19,43720,Dec 29 2010 12:00AM
121,20101229,3,7,1,20,13445,Dec 29 2010 12:00AM
122,20101229,3,7,1,21,59754,Dec 29 2010 12:00AM
123,20101229,3,7,1,22,11887,Dec 29 2010 12:00AM
124,20101229,3,7,1,23,4908,Dec 29 2010 12:00AM
125,20101229,3,7,1,24,23894,Dec 29 2010 12:00AM
126,20101229,3,7,1,28,20246,Dec 29 2010 12:00AM
127,20101229,3,7,1,29,175368,Dec 29 2010 12:00AM
128,20101229,3,7,1,31,55708,Dec 29 2010 12:00AM
129,20101229,3,7,1,32,29228,Dec 29 2010 12:00AM
130,20101229,3,7,1,33,28238,Dec 29 2010 12:00AM
131,20101229,3,7,1,34,9316,Dec 29 2010 12:00AM
132,20101229,3,7,1,35,42697,Dec 29 2010 12:00AM
133,20101229,3,7,1,37,33491,Dec 29 2010 12:00AM
134,20101229,3,7,1,38,36417,Dec 29 2010 12:00AM
135,20101229,3,7,1,39,55708,Dec 29 2010 12:00AM
136,20101229,3,7,1,40,29546,Dec 29 2010 12:00AM
137,20101229,3,7,1,42,350000,Dec 29 2010 12:00AM
138,20101229,3,7,1,43,-830344,Dec 29 2010 12:00AM
139,20101229,3,7,1,45,423791,Dec 29 2010 12:00AM
140,20101229,3,7,1,46,-25508,Dec 29 2010 12:00AM
141,20101229,3,7,1,60,5520,Dec 29 2010 12:00AM
142,20101229,3,7,2,60,5000,Dec 29 2010 12:00AM
143,20101229,3,7,2,61,480,Dec 29 2010 12:00AM
144,20101229,3,7,1,61,497,Dec 29 2010 12:00AM
145,20101229,3,7,1,62,331,Dec 29 2010 12:00AM
146,20101229,3,7,2,62,380,Dec 29 2010 12:00AM
147,20101229,3,7,2,65,90,Dec 29 2010 12:00AM
148,20101229,3,7,1,65,81,Dec 29 2010 12:00AM
149,20101229,3,7,1,66,74,Dec 29 2010 12:00AM
150,20101229,3,7,2,66,80,Dec 29 2010 12:00AM
151,20101229,3,7,2,67,40,Dec 29 2010 12:00AM
152,20101229,3,7,1,67,38,Dec 29 2010 12:00AM
153,20101229,3,7,1,68,29,Dec 29 2010 12:00AM
154,20101229,3,7,2,68,30,Dec 29 2010 12:00AM
155,20101229,3,7,1,69,8,Dec 29 2010 12:00AM
156,20101229,3,7,1,71,9,Dec 29 2010 12:00AM
157,20101229,3,7,2,71,30,Dec 29 2010 12:00AM
158,20101229,3,7,2,73,80,Dec 29 2010 12:00AM
159,20101229,3,7,1,73,57,Dec 29 2010 12:00AM
160,20101229,3,7,1,74,86,Dec 29 2010 12:00AM
161,20101229,3,7,2,74,100,Dec 29 2010 12:00AM
162,20101229,3,7,2,76,60,Dec 29 2010 12:00AM
163,20101229,3,7,1,76,71,Dec 29 2010 12:00AM
164,20101229,3,7,1,77,128,Dec 29 2010 12:00AM
165,20101229,3,7,2,77,100,Dec 29 2010 12:00AM
166,20101229,3,7,2,78,40,Dec 29 2010 12:00AM
167,20101229,3,7,1,78,39,Dec 29 2010 12:00AM
168,20101229,3,7,1,80,143,Dec 29 2010 12:00AM
169,20101229,3,7,2,80,100,Dec 29 2010 12:00AM
170,20101229,3,7,2,81,90,Dec 29 2010 12:00AM
171,20101229,3,7,1,81,89,Dec 29 2010 12:00AM
172,20101229,3,7,1,82,9,Dec 29 2010 12:00AM
173,20101229,3,7,2,82,10,Dec 29 2010 12:00AM
