SurveyResponseKey,DateKey,CustomerKey,ProductCategoryKey,EnglishProductCategoryName,ProductSubcategoryKey,EnglishProductSubcategoryName,Date
1,20120309,11001,3,Clothing,24,Tights,Mar  9 2012 12:00AM
2,20120309,11001,4,Accessories,30,Fenders,Mar  9 2012 12:00AM
3,20120309,11001,4,Accessories,32,Hydration Packs,Mar  9 2012 12:00AM
4,20120424,11017,3,Clothing,22,Shorts,Apr 24 2012 12:00AM
5,20120424,11017,4,Accessories,28,Bottles and Cages,Apr 24 2012 12:00AM
6,20120406,11019,4,Accessories,34,Locks,Apr  6 2012 12:00AM
7,20120414,11026,4,Accessories,28,Bottles and Cages,Apr 14 2012 12:00AM
8,20120310,11033,3,Clothing,21,Jerseys,Mar 10 2012 12:00AM
9,20120310,11033,3,Clothing,23,Socks,Mar 10 2012 12:00AM
10,20120310,11033,3,Clothing,24,Tights,Mar 10 2012 12:00AM
11,20120303,11037,4,Accessories,31,Helmets,Mar  3 2012 12:00AM
12,20120303,11037,4,Accessories,32,Hydration Packs,Mar  3 2012 12:00AM
13,20120311,11047,3,Clothing,22,Shorts,Mar 11 2012 12:00AM
14,20120311,11047,3,Clothing,23,Socks,Mar 11 2012 12:00AM
15,20120311,11047,4,Accessories,30,Fenders,Mar 11 2012 12:00AM
16,20120426,11048,4,Accessories,32,Hydration Packs,Apr 26 2012 12:00AM
17,20120426,11048,4,Accessories,36,Pumps,Apr 26 2012 12:00AM
18,20120312,11054,3,Clothing,18,Bib-Shorts,Mar 12 2012 12:00AM
19,20120408,11057,4,Accessories,36,Pumps,Apr  8 2012 12:00AM
20,20120417,11070,4,Accessories,29,Cleaners,Apr 17 2012 12:00AM
21,20120417,11070,4,Accessories,31,Helmets,Apr 17 2012 12:00AM
22,20120405,11078,4,Accessories,31,Helmets,Apr  5 2012 12:00AM
23,20120314,11079,3,Clothing,21,Jerseys,Mar 14 2012 12:00AM
24,20120314,11079,4,Accessories,27,Bike Stands,Mar 14 2012 12:00AM
25,20120314,11079,4,Accessories,37,Tires and Tubes,Mar 14 2012 12:00AM
26,20120326,11109,3,Clothing,25,Vests,Mar 26 2012 12:00AM
27,20120309,11110,3,Clothing,21,Jerseys,Mar  9 2012 12:00AM
28,20120324,11111,3,Clothing,20,Gloves,Mar 24 2012 12:00AM
29,20120324,11111,4,Accessories,30,Fenders,Mar 24 2012 12:00AM
30,20120324,11111,4,Accessories,32,Hydration Packs,Mar 24 2012 12:00AM
31,20120427,11123,4,Accessories,31,Helmets,Apr 27 2012 12:00AM
32,20120427,11123,4,Accessories,33,Lights,Apr 27 2012 12:00AM
33,20120427,11123,4,Accessories,37,Tires and Tubes,Apr 27 2012 12:00AM
34,20120325,11125,4,Accessories,36,Pumps,Mar 25 2012 12:00AM
35,20120427,11132,3,Clothing,23,Socks,Apr 27 2012 12:00AM
36,20120321,11142,3,Clothing,19,Caps,Mar 21 2012 12:00AM
37,20120410,11150,3,Clothing,21,Jerseys,Apr 10 2012 12:00AM
38,20120410,11150,4,Accessories,31,Helmets,Apr 10 2012 12:00AM
39,20120304,11223,4,Accessories,35,Panniers,Mar  4 2012 12:00AM
40,20120303,11276,3,Clothing,23,Socks,Mar  3 2012 12:00AM
41,20120303,11276,4,Accessories,34,Locks,Mar  3 2012 12:00AM
42,20120303,11287,3,Clothing,24,Tights,Mar  3 2012 12:00AM
43,20120303,11287,4,Accessories,33,Lights,Mar  3 2012 12:00AM
44,20120307,11300,4,Accessories,31,Helmets,Mar  7 2012 12:00AM
45,20120325,11316,3,Clothing,25,Vests,Mar 25 2012 12:00AM
46,20120325,11316,4,Accessories,28,Bottles and Cages,Mar 25 2012 12:00AM
47,20120325,11316,4,Accessories,34,Locks,Mar 25 2012 12:00AM
48,20120417,11331,3,Clothing,20,Gloves,Apr 17 2012 12:00AM
49,20120417,11331,3,Clothing,24,Tights,Apr 17 2012 12:00AM
50,20120317,11335,4,Accessories,26,Bike Racks,Mar 17 2012 12:00AM
51,20120301,11338,4,Accessories,32,Hydration Packs,Mar  1 2012 12:00AM
52,20120316,11344,4,Accessories,27,Bike Stands,Mar 16 2012 12:00AM
53,20120304,11358,4,Accessories,27,Bike Stands,Mar  4 2012 12:00AM
54,20120304,11358,4,Accessories,28,Bottles and Cages,Mar  4 2012 12:00AM
55,20120423,11364,3,Clothing,24,Tights,Apr 23 2012 12:00AM
56,20120331,11387,4,Accessories,31,Helmets,Mar 31 2012 12:00AM
57,20120401,11413,3,Clothing,25,Vests,Apr  1 2012 12:00AM
58,20120401,11413,4,Accessories,37,Tires and Tubes,Apr  1 2012 12:00AM
59,20120406,11431,4,Accessories,27,Bike Stands,Apr  6 2012 12:00AM
60,20120410,11446,3,Clothing,22,Shorts,Apr 10 2012 12:00AM
61,20120311,11449,4,Accessories,28,Bottles and Cages,Mar 11 2012 12:00AM
62,20120409,11464,4,Accessories,27,Bike Stands,Apr  9 2012 12:00AM
63,20120313,11495,4,Accessories,33,Lights,Mar 13 2012 12:00AM
64,20120409,11498,3,Clothing,21,Jerseys,Apr  9 2012 12:00AM
65,20120409,11498,3,Clothing,22,Shorts,Apr  9 2012 12:00AM
66,20120409,11498,4,Accessories,29,Cleaners,Apr  9 2012 12:00AM
67,20120407,11500,4,Accessories,36,Pumps,Apr  7 2012 12:00AM
68,20120325,11502,3,Clothing,21,Jerseys,Mar 25 2012 12:00AM
69,20120325,11502,3,Clothing,23,Socks,Mar 25 2012 12:00AM
70,20120322,11505,4,Accessories,30,Fenders,Mar 22 2012 12:00AM
71,20120322,11505,4,Accessories,34,Locks,Mar 22 2012 12:00AM
72,20120322,11505,4,Accessories,37,Tires and Tubes,Mar 22 2012 12:00AM
73,20120403,11510,3,Clothing,25,Vests,Apr  3 2012 12:00AM
74,20120426,11519,4,Accessories,37,Tires and Tubes,Apr 26 2012 12:00AM
75,20120302,11523,3,Clothing,19,Caps,Mar  2 2012 12:00AM
76,20120302,11523,3,Clothing,25,Vests,Mar  2 2012 12:00AM
77,20120324,11530,4,Accessories,29,Cleaners,Mar 24 2012 12:00AM
78,20120314,11562,4,Accessories,34,Locks,Mar 14 2012 12:00AM
79,20120312,11613,3,Clothing,25,Vests,Mar 12 2012 12:00AM
80,20120419,11618,4,Accessories,36,Pumps,Apr 19 2012 12:00AM
81,20120317,11631,4,Accessories,37,Tires and Tubes,Mar 17 2012 12:00AM
82,20120301,11640,4,Accessories,27,Bike Stands,Mar  1 2012 12:00AM
83,20120301,11640,4,Accessories,33,Lights,Mar  1 2012 12:00AM
84,20120424,11641,4,Accessories,34,Locks,Apr 24 2012 12:00AM
85,20120301,11647,4,Accessories,32,Hydration Packs,Mar  1 2012 12:00AM
86,20120301,11647,4,Accessories,33,Lights,Mar  1 2012 12:00AM
87,20120403,11651,3,Clothing,21,Jerseys,Apr  3 2012 12:00AM
88,20120313,11711,3,Clothing,22,Shorts,Mar 13 2012 12:00AM
89,20120313,11711,4,Accessories,32,Hydration Packs,Mar 13 2012 12:00AM
90,20120404,11719,4,Accessories,26,Bike Racks,Apr  4 2012 12:00AM
91,20120404,11719,4,Accessories,34,Locks,Apr  4 2012 12:00AM
92,20120419,11749,4,Accessories,33,Lights,Apr 19 2012 12:00AM
93,20120322,11753,3,Clothing,22,Shorts,Mar 22 2012 12:00AM
94,20120322,11753,4,Accessories,35,Panniers,Mar 22 2012 12:00AM
95,20120425,11758,4,Accessories,34,Locks,Apr 25 2012 12:00AM
96,20120309,11808,4,Accessories,29,Cleaners,Mar  9 2012 12:00AM
97,20120229,11845,4,Accessories,30,Fenders,Feb 29 2012 12:00AM
98,20120402,11875,3,Clothing,22,Shorts,Apr  2 2012 12:00AM
99,20120402,11875,3,Clothing,24,Tights,Apr  2 2012 12:00AM
100,20120405,11888,3,Clothing,22,Shorts,Apr  5 2012 12:00AM
101,20120405,11888,4,Accessories,35,Panniers,Apr  5 2012 12:00AM
102,20120322,11904,4,Accessories,36,Pumps,Mar 22 2012 12:00AM
103,20120325,11911,3,Clothing,18,Bib-Shorts,Mar 25 2012 12:00AM
104,20120402,11913,4,Accessories,27,Bike Stands,Apr  2 2012 12:00AM
105,20120407,11917,3,Clothing,23,Socks,Apr  7 2012 12:00AM
106,20120315,11918,4,Accessories,32,Hydration Packs,Mar 15 2012 12:00AM
107,20120315,11918,4,Accessories,36,Pumps,Mar 15 2012 12:00AM
108,20120303,11952,3,Clothing,25,Vests,Mar  3 2012 12:00AM
109,20120303,11952,4,Accessories,31,Helmets,Mar  3 2012 12:00AM
110,20120410,11963,4,Accessories,30,Fenders,Apr 10 2012 12:00AM
111,20120410,11963,4,Accessories,36,Pumps,Apr 10 2012 12:00AM
112,20120406,11968,4,Accessories,34,Locks,Apr  6 2012 12:00AM
113,20120416,11986,4,Accessories,34,Locks,Apr 16 2012 12:00AM
114,20120312,11987,3,Clothing,22,Shorts,Mar 12 2012 12:00AM
115,20120408,11991,3,Clothing,18,Bib-Shorts,Apr  8 2012 12:00AM
116,20120408,11991,4,Accessories,36,Pumps,Apr  8 2012 12:00AM
117,20120326,11995,3,Clothing,24,Tights,Mar 26 2012 12:00AM
118,20120327,11997,4,Accessories,28,Bottles and Cages,Mar 27 2012 12:00AM
119,20120408,12002,3,Clothing,25,Vests,Apr  8 2012 12:00AM
120,20120322,12038,3,Clothing,21,Jerseys,Mar 22 2012 12:00AM
121,20120330,12056,3,Clothing,20,Gloves,Mar 30 2012 12:00AM
122,20120418,12089,3,Clothing,24,Tights,Apr 18 2012 12:00AM
123,20120417,12113,3,Clothing,25,Vests,Apr 17 2012 12:00AM
124,20120417,12113,4,Accessories,29,Cleaners,Apr 17 2012 12:00AM
125,20120319,12129,4,Accessories,28,Bottles and Cages,Mar 19 2012 12:00AM
126,20120306,12136,3,Clothing,24,Tights,Mar  6 2012 12:00AM
127,20120306,12136,4,Accessories,34,Locks,Mar  6 2012 12:00AM
128,20120411,12165,4,Accessories,34,Locks,Apr 11 2012 12:00AM
129,20120410,12166,3,Clothing,22,Shorts,Apr 10 2012 12:00AM
130,20120410,12166,4,Accessories,37,Tires and Tubes,Apr 10 2012 12:00AM
131,20120306,12226,4,Accessories,28,Bottles and Cages,Mar  6 2012 12:00AM
132,20120420,12243,4,Accessories,34,Locks,Apr 20 2012 12:00AM
133,20120421,12248,3,Clothing,22,Shorts,Apr 21 2012 12:00AM
134,20120421,12248,4,Accessories,35,Panniers,Apr 21 2012 12:00AM
135,20120421,12248,4,Accessories,36,Pumps,Apr 21 2012 12:00AM
136,20120322,12306,4,Accessories,29,Cleaners,Mar 22 2012 12:00AM
137,20120426,12317,3,Clothing,21,Jerseys,Apr 26 2012 12:00AM
138,20120426,12317,4,Accessories,26,Bike Racks,Apr 26 2012 12:00AM
139,20120426,12317,4,Accessories,37,Tires and Tubes,Apr 26 2012 12:00AM
140,20120311,12327,3,Clothing,23,Socks,Mar 11 2012 12:00AM
141,20120311,12327,4,Accessories,36,Pumps,Mar 11 2012 12:00AM
142,20120326,12338,4,Accessories,27,Bike Stands,Mar 26 2012 12:00AM
143,20120411,12343,3,Clothing,23,Socks,Apr 11 2012 12:00AM
144,20120405,12344,3,Clothing,24,Tights,Apr  5 2012 12:00AM
145,20120421,12350,3,Clothing,22,Shorts,Apr 21 2012 12:00AM
146,20120421,12350,4,Accessories,33,Lights,Apr 21 2012 12:00AM
147,20120321,12351,4,Accessories,30,Fenders,Mar 21 2012 12:00AM
148,20120321,12351,4,Accessories,31,Helmets,Mar 21 2012 12:00AM
149,20120418,12354,4,Accessories,27,Bike Stands,Apr 18 2012 12:00AM
150,20120317,12358,4,Accessories,30,Fenders,Mar 17 2012 12:00AM
151,20120413,12359,4,Accessories,26,Bike Racks,Apr 13 2012 12:00AM
152,20120413,12359,4,Accessories,30,Fenders,Apr 13 2012 12:00AM
153,20120413,12359,4,Accessories,33,Lights,Apr 13 2012 12:00AM
154,20120319,12363,4,Accessories,35,Panniers,Mar 19 2012 12:00AM
155,20120319,12363,4,Accessories,36,Pumps,Mar 19 2012 12:00AM
156,20120318,12396,4,Accessories,30,Fenders,Mar 18 2012 12:00AM
157,20120320,12399,3,Clothing,18,Bib-Shorts,Mar 20 2012 12:00AM
158,20120301,12401,4,Accessories,31,Helmets,Mar  1 2012 12:00AM
159,20120402,12491,3,Clothing,23,Socks,Apr  2 2012 12:00AM
160,20120402,12491,4,Accessories,32,Hydration Packs,Apr  2 2012 12:00AM
161,20120402,12491,4,Accessories,33,Lights,Apr  2 2012 12:00AM
162,20120417,12496,4,Accessories,26,Bike Racks,Apr 17 2012 12:00AM
163,20120417,12496,4,Accessories,33,Lights,Apr 17 2012 12:00AM
164,20120316,12530,3,Clothing,24,Tights,Mar 16 2012 12:00AM
165,20120316,12530,4,Accessories,34,Locks,Mar 16 2012 12:00AM
166,20120408,12571,4,Accessories,37,Tires and Tubes,Apr  8 2012 12:00AM
167,20120406,12577,4,Accessories,32,Hydration Packs,Apr  6 2012 12:00AM
168,20120329,12580,3,Clothing,24,Tights,Mar 29 2012 12:00AM
169,20120306,12587,4,Accessories,33,Lights,Mar  6 2012 12:00AM
170,20120403,12588,4,Accessories,34,Locks,Apr  3 2012 12:00AM
171,20120410,12617,3,Clothing,22,Shorts,Apr 10 2012 12:00AM
172,20120410,12617,4,Accessories,34,Locks,Apr 10 2012 12:00AM
173,20120411,12619,3,Clothing,21,Jerseys,Apr 11 2012 12:00AM
174,20120411,12619,3,Clothing,22,Shorts,Apr 11 2012 12:00AM
175,20120411,12619,4,Accessories,33,Lights,Apr 11 2012 12:00AM
176,20120323,12630,4,Accessories,33,Lights,Mar 23 2012 12:00AM
177,20120317,12675,4,Accessories,35,Panniers,Mar 17 2012 12:00AM
178,20120317,12675,4,Accessories,37,Tires and Tubes,Mar 17 2012 12:00AM
179,20120327,12677,3,Clothing,25,Vests,Mar 27 2012 12:00AM
180,20120327,12677,4,Accessories,33,Lights,Mar 27 2012 12:00AM
181,20120420,12687,4,Accessories,34,Locks,Apr 20 2012 12:00AM
182,20120311,12697,3,Clothing,19,Caps,Mar 11 2012 12:00AM
183,20120311,12697,4,Accessories,37,Tires and Tubes,Mar 11 2012 12:00AM
184,20120311,12714,4,Accessories,29,Cleaners,Mar 11 2012 12:00AM
185,20120311,12714,4,Accessories,34,Locks,Mar 11 2012 12:00AM
186,20120229,12715,3,Clothing,19,Caps,Feb 29 2012 12:00AM
187,20120229,12715,4,Accessories,27,Bike Stands,Feb 29 2012 12:00AM
188,20120404,12760,3,Clothing,24,Tights,Apr  4 2012 12:00AM
189,20120404,12760,3,Clothing,25,Vests,Apr  4 2012 12:00AM
190,20120315,12763,4,Accessories,32,Hydration Packs,Mar 15 2012 12:00AM
191,20120412,12765,3,Clothing,24,Tights,Apr 12 2012 12:00AM
192,20120412,12765,4,Accessories,33,Lights,Apr 12 2012 12:00AM
193,20120312,12785,3,Clothing,19,Caps,Mar 12 2012 12:00AM
194,20120312,12785,3,Clothing,25,Vests,Mar 12 2012 12:00AM
195,20120304,12800,4,Accessories,29,Cleaners,Mar  4 2012 12:00AM
196,20120304,12800,4,Accessories,30,Fenders,Mar  4 2012 12:00AM
197,20120401,12837,4,Accessories,32,Hydration Packs,Apr  1 2012 12:00AM
198,20120317,12840,3,Clothing,24,Tights,Mar 17 2012 12:00AM
199,20120317,12840,4,Accessories,33,Lights,Mar 17 2012 12:00AM
200,20120317,12840,4,Accessories,36,Pumps,Mar 17 2012 12:00AM
201,20120419,12870,4,Accessories,34,Locks,Apr 19 2012 12:00AM
202,20120301,12895,3,Clothing,21,Jerseys,Mar  1 2012 12:00AM
203,20120303,12919,3,Clothing,24,Tights,Mar  3 2012 12:00AM
204,20120303,12919,4,Accessories,26,Bike Racks,Mar  3 2012 12:00AM
205,20120303,12919,4,Accessories,35,Panniers,Mar  3 2012 12:00AM
206,20120229,12939,4,Accessories,26,Bike Racks,Feb 29 2012 12:00AM
207,20120325,12945,3,Clothing,21,Jerseys,Mar 25 2012 12:00AM
208,20120312,12959,4,Accessories,29,Cleaners,Mar 12 2012 12:00AM
209,20120312,12959,4,Accessories,35,Panniers,Mar 12 2012 12:00AM
210,20120426,12987,3,Clothing,20,Gloves,Apr 26 2012 12:00AM
211,20120302,12988,4,Accessories,37,Tires and Tubes,Mar  2 2012 12:00AM
212,20120411,12991,4,Accessories,34,Locks,Apr 11 2012 12:00AM
213,20120321,12997,3,Clothing,20,Gloves,Mar 21 2012 12:00AM
214,20120328,13004,4,Accessories,26,Bike Racks,Mar 28 2012 12:00AM
215,20120330,13006,3,Clothing,22,Shorts,Mar 30 2012 12:00AM
216,20120330,13006,4,Accessories,27,Bike Stands,Mar 30 2012 12:00AM
217,20120330,13006,4,Accessories,30,Fenders,Mar 30 2012 12:00AM
218,20120312,13008,3,Clothing,22,Shorts,Mar 12 2012 12:00AM
219,20120312,13008,4,Accessories,26,Bike Racks,Mar 12 2012 12:00AM
220,20120312,13008,4,Accessories,30,Fenders,Mar 12 2012 12:00AM
221,20120229,13011,3,Clothing,21,Jerseys,Feb 29 2012 12:00AM
222,20120229,13011,3,Clothing,23,Socks,Feb 29 2012 12:00AM
223,20120321,13012,3,Clothing,20,Gloves,Mar 21 2012 12:00AM
224,20120326,13021,3,Clothing,22,Shorts,Mar 26 2012 12:00AM
225,20120323,13024,3,Clothing,24,Tights,Mar 23 2012 12:00AM
226,20120323,13024,4,Accessories,30,Fenders,Mar 23 2012 12:00AM
227,20120323,13024,4,Accessories,36,Pumps,Mar 23 2012 12:00AM
228,20120405,13026,4,Accessories,31,Helmets,Apr  5 2012 12:00AM
229,20120318,13034,4,Accessories,33,Lights,Mar 18 2012 12:00AM
230,20120317,13037,3,Clothing,25,Vests,Mar 17 2012 12:00AM
231,20120317,13037,4,Accessories,32,Hydration Packs,Mar 17 2012 12:00AM
232,20120424,13044,3,Clothing,23,Socks,Apr 24 2012 12:00AM
233,20120322,13051,4,Accessories,32,Hydration Packs,Mar 22 2012 12:00AM
234,20120415,13079,4,Accessories,30,Fenders,Apr 15 2012 12:00AM
235,20120304,13095,3,Clothing,18,Bib-Shorts,Mar  4 2012 12:00AM
236,20120304,13095,3,Clothing,21,Jerseys,Mar  4 2012 12:00AM
237,20120304,13095,4,Accessories,26,Bike Racks,Mar  4 2012 12:00AM
238,20120314,13103,3,Clothing,21,Jerseys,Mar 14 2012 12:00AM
239,20120314,13103,4,Accessories,26,Bike Racks,Mar 14 2012 12:00AM
240,20120314,13103,4,Accessories,29,Cleaners,Mar 14 2012 12:00AM
241,20120419,13110,3,Clothing,25,Vests,Apr 19 2012 12:00AM
242,20120325,13114,3,Clothing,25,Vests,Mar 25 2012 12:00AM
243,20120325,13114,4,Accessories,35,Panniers,Mar 25 2012 12:00AM
244,20120413,13138,4,Accessories,37,Tires and Tubes,Apr 13 2012 12:00AM
245,20120229,13139,4,Accessories,35,Panniers,Feb 29 2012 12:00AM
246,20120410,13143,3,Clothing,25,Vests,Apr 10 2012 12:00AM
247,20120328,13175,3,Clothing,23,Socks,Mar 28 2012 12:00AM
248,20120328,13175,3,Clothing,24,Tights,Mar 28 2012 12:00AM
249,20120328,13175,4,Accessories,28,Bottles and Cages,Mar 28 2012 12:00AM
250,20120306,13197,4,Accessories,26,Bike Racks,Mar  6 2012 12:00AM
251,20120306,13197,4,Accessories,35,Panniers,Mar  6 2012 12:00AM
252,20120229,13217,4,Accessories,28,Bottles and Cages,Feb 29 2012 12:00AM
